rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,child_frame_id,pose,position,x,y,z,orientation,qx,qy,qz,qw
2437756000000,,109593,,2437,754000000,"""map""","""base_link""",,,-9.6062577722,-346.894232761,0.0069295555,,7.47866710721E-05,-8.83285977592E-05,-0.7167394369,-0.6973410687
2437764000000,,109594,,2437,764000000,"""map""","""base_link""",,,-9.6062524175,-346.894243899,0.0069342289,,7.3874848978E-05,-8.80511109891E-05,-0.7167382518,-0.697342287
2437774000000,,109595,,2437,774000000,"""map""","""base_link""",,,-9.6062332263,-346.894256066,0.0069294568,,7.4832119192E-05,-8.86575730878E-05,-0.7167358337,-0.6973447721
2437783000000,,109596,,2437,784000000,"""map""","""base_link""",,,-9.6062095047,-346.894273651,0.0069245903,,7.63113087525E-05,-8.94592126588E-05,-0.7167306936,-0.6973500549
2437794000000,,109597,,2437,794000000,"""map""","""base_link""",,,-9.6062034005,-346.894289774,0.0069284971,,7.55872175017E-05,-8.93350695565E-05,-0.7167238608,-0.6973570776
2437804000000,,109598,,2437,804000000,"""map""","""base_link""",,,-9.6062117599,-346.894309439,0.0069328253,,7.48364078728E-05,-8.91267413898E-05,-0.7167199939,-0.697361052
2437814000000,,109599,,2437,814000000,"""map""","""base_link""",,,-9.6062277487,-346.894330341,0.0069357619,,7.35568864792E-05,-8.8958489806E-05,-0.7167163867,-0.6973647594
2437824000000,,109600,,2437,824000000,"""map""","""base_link""",,,-9.6062681586,-346.89434856,0.0069383184,,7.4367729314E-05,-9.24351695811E-05,-0.7167199448,-0.697361102
2437834000000,,109601,,2437,834000000,"""map""","""base_link""",,,-9.606250364,-346.894361991,0.0069327822,,7.530558397E-05,-9.26687162474E-05,-0.7166873625,-0.6973945872
2437844000000,,109602,,2437,844000000,"""map""","""base_link""",,,-9.6062421426,-346.894377897,0.0069266046,,7.65364159962E-05,-9.26086096613E-05,-0.716685581,-0.6973964178
2437854000000,,109603,,2437,854000000,"""map""","""base_link""",,,-9.606227948,-346.894394423,0.0069302212,,7.44654787814E-05,-9.11003446273E-05,-0.7166838505,-0.6973981966
2437864000000,,109604,,2437,864000000,"""map""","""base_link""",,,-9.6062096838,-346.894411657,0.0069388089,,7.2237900475E-05,-8.96428932926E-05,-0.7166798994,-0.6974022573
2437874000000,,109605,,2437,874000000,"""map""","""base_link""",,,-9.606201027,-346.894428492,0.0069429927,,7.22581062109E-05,-9.2062458612E-05,-0.7166742303,-0.6974080828
2437884000000,,109606,,2437,884000000,"""map""","""base_link""",,,-9.6062020088,-346.894445369,0.0069397644,,7.09132953746E-05,-9.08236460723E-05,-0.7166697813,-0.6974126549
2437894000000,,109607,,2437,894000000,"""map""","""base_link""",,,-9.6062103806,-346.894460947,0.0069366624,,7.33249446168E-05,-9.41251958498E-05,-0.7166647947,-0.6974177785
2437904000000,,109608,,2437,904000000,"""map""","""base_link""",,,-9.6062572053,-346.894476999,0.0069311726,,7.53132877832E-05,-0.000093055,-0.7166651691,-0.6974173937
2437915000000,,109609,,2437,914000000,"""map""","""base_link""",,,-9.6062537413,-346.894490707,0.0069257015,,7.70528346001E-05,-9.2603858124E-05,-0.7166341865,-0.6974492299
2437924000000,,109610,,2437,924000000,"""map""","""base_link""",,,-9.6062483531,-346.89450581,0.0069272383,,7.72757066671E-05,-9.15689461205E-05,-0.7166338834,-0.6974495414
2437934000000,,109611,,2437,934000000,"""map""","""base_link""",,,-9.606228802,-346.894522081,0.0069350244,,7.41555879721E-05,-9.04201322734E-05,-0.7166330623,-0.6974503856
2437944000000,,109612,,2437,944000000,"""map""","""base_link""",,,-9.6062036147,-346.89454061,0.0069414151,,7.17337018289E-05,-8.9149449136E-05,-0.716629034,-0.6974545251
2437954000000,,109613,,2437,954000000,"""map""","""base_link""",,,-9.6061978821,-346.894550356,0.0069374511,,7.20947060346E-05,-8.91465716445E-05,-0.716621689,-0.6974620718
2437964000000,,109614,,2437,964000000,"""map""","""base_link""",,,-9.6062045863,-346.894569103,0.0069259666,,7.4555772385E-05,-8.9935400043E-05,-0.7166172569,-0.6974666253
2437974000000,,109615,,2437,974000000,"""map""","""base_link""",,,-9.6062094249,-346.894583959,0.0069278207,,7.43576333125E-05,-8.92926215422E-05,-0.7166132273,-0.6974707656
2437984000000,,109616,,2437,984000000,"""map""","""base_link""",,,-9.606255771,-346.894600675,0.0069307741,,7.42964529229E-05,-8.85545540966E-05,-0.7166140007,-0.6974699711
